Tower Name,Elevation,Latitude,Longitude
56 A WTG12 F12 33 KV Line,152.6,23.2236707970,69.2748353490
57 A WTG12 F12 33 KV Line,151.7,23.2234351850,69.2752649200
58 A WTG12 F12 33 KV Line,151.6,23.2232085870,69.2757042820
59 A WTG12 F12 33 KV Line,152.7,23.2230249940,69.2761390390
60 A WTG12 F12 33 KV Line,153.4,23.2229627530,69.2768082280
61 A WTG12 F12 33 KV Line,153.5,23.2227221810,69.2769221850
1 WTG 5 F6 33 KV Line,151,23.2356480110,69.2568210000
2 WTG 5 F6 33 KV Line,151.8,23.2352059580,69.2565830180
3 WTG 5 F6 33 KV Line,152.1,23.2347059590,69.2563159930
4 WTG 5 F6 33 KV Line,151.3,23.2343060240,69.2560630410
5 WTG 5 F6 33 KV Line,153.5,23.2339910430,69.2557280470
6 WTG 5 F6 33 KV Line,153,23.2336869830,69.2553979620
7 WTG 5 F6 33 KV Line,157.4,23.2332830200,69.2549540100
8 WTG 5 F6 33 KV Line,157.2,23.2333049870,69.2543860460
9 WTG 5 F6 33 KV Line,161.6,23.2333350150,69.2538040210
10 WTG 5 F6 33 KV Line,165.3,23.2333549700,69.2532489550
11 WTG 5 F6 33 KV Line,165.8,23.2333629910,69.2526430380
12 WTG 5 F6 33 KV Line,166.8,23.2334029630,69.2519960300
13 WTG 5 F6 33 KV Line,166.6,23.2338579660,69.2518799780
14 WTG 5 F6 33 KV Line,168.8,23.2345670040,69.2516930470
15 WTG 5 F6 33 KV Line,171.1,23.2350950170,69.2515629570
16 WTG 5 F6 33 KV Line,175.8,23.2357030300,69.2513980220
17 WTG 5 F6 33 KV Line,178.9,23.2363150060,69.2512389580
18 WTG 5 F6 33 KV Line,177.9,23.2369979860,69.2509089640
19 WTG 5 F6 33 KV Line,177.6,23.2376139840,69.2506069930
20 WTG 5 F6 33 KV Line,180,23.2380630270,69.2503759690
21 WTG 5 F6 33 KV Line,184.1,23.2384480200,69.2502050370
22 WTG 5 F6 33 KV Line,188,23.2390280310,69.2499240100
23 WTG 5 F6 33 KV Line,191.5,23.2395339900,69.2496880030
24 WTG 5 F6 33 KV Line,194.3,23.2395609580,69.2491450450
25 WTG 5 F6 33 KV Line,193.5,23.2396429590,69.2483010160
26 WTG 5 F6 33 KV Line,193.3,23.2393949720,69.2477469930
27 WTG 5 F6 33 KV Line,192.4,23.2391569680,69.2471610250
28 WTG 5 F6 33 KV Line,193.6,23.2391629980,69.2467729650
29 WTG 5 F6 33 KV Line,192.6,23.2391900260,69.2461850420
30 WTG 5 F6 33 KV Line,189.1,23.2392589580,69.2455440190
31 WTG 5 F6 33 KV Line,192.5,23.2392719920,69.2451800180
32 WTG 5 F6 33 KV Line,194.7,23.2394699660,69.2446210470
33 WTG 5 F6 33 KV Line,192.6,23.2396149930,69.2441850470
34 WTG 5 F6 33 KV Line,191.4,23.2397760230,69.2436810400
35 WTG 5 F6 33 KV Line,194.3,23.2399689800,69.2431500130
36 WTG 5 F6 33 KV Line,192.9,23.2403856850,69.2432618150
37 WTG 5 F6 33 KV Line,191.8,23.2408859900,69.2433460060
38 WTG 5 F6 33 KV Line,192,23.2411869970,69.2429220130
